検索結果／出荷地別取扱実績（ひらめ（国内））
（単位：ｋｇ・円）
出荷地,出荷地,合計,平成31年1月,平成31年2月,平成31年3月,平成31年4月,令和元年5月,令和元年6月,令和元年7月,令和元年8月,令和元年9月,令和元年10月,令和元年11月,令和元年12月,
長崎,金額,52954366,8075682,18088167,17207726,8905177,181612,53785,111262,40348,16848,32616,70459,170684,
長崎,平均価格,1843,1972,1872,1795,1796,1763,960,1113,1302,2407,1631,2430,2338,
熊本,数量,16566,2809,7083,6413,160,24,0,0,0,4,0,5,68,
熊本,金額,29143640,4970365,12802003,10835722,291794,11005,0,0,0,4925,0,11556,216270,
熊本,平均価格,1759,1769,1807,1690,1824,459,-,-,-,1231,-,2311,3180,
大分,数量,761,26,37,89,124,74,166,213,13,0,5,6,8,
大分,金額,1828545,47368,65145,152927,188028,189022,469384,641001,36423,0,5875,17226,16146,
大分,平均価格,2403,1822,1761,1718,1516,2554,2828,3009,2802,-,1175,2871,2018,
宮崎,数量,84,40,32,8,4,0,0,0,0,0,0,0,0,
宮崎,金額,135000,62716,53546,13684,5054,0,0,0,0,0,0,0,0,
宮崎,平均価格,1607,1568,1673,1711,1264,-,-,-,-,-,-,-,-,
鹿児島,数量,1758,504,766,364,49,8,12,0,0,0,0,14,41,
鹿児島,金額,4097144,1307988,1708439,778100,94468,11146,6318,0,0,0,0,48222,142463,
鹿児島,平均価格,2331,2595,2230,2138,1928,1393,527,-,-,-,-,3444,3475,
